customer_id,prob,default
100000,0.113380894,0
100001,0.26861176,0
100002,0.5998957,1
100003,0.16486153,0
100004,0.51824427,0
100005,0.22959259,0
100006,0.19082606,0
100007,0.36886862,0
100008,0.07258793,0
100009,0.31747618,0
100010,0.18438467,0
100011,0.28467664,0
100012,0.37722713,0
100013,0.13364702,0
100014,0.15052581,0
100015,0.17684036,0
100016,0.29358652,0
100017,0.087562524,0
100018,0.78694636,1
100019,0.38841256,0
100020,0.40547952,0
100021,0.91194695,1
100022,0.30290216,0
100023,0.18369073,0
100024,0.45450708,0
100025,0.1602178,0
100026,0.05493964,0
100027,0.70513517,1
100028,0.093770385,0
100029,0.52739507,0
100030,0.5371689,0
100031,0.39492023,0
100032,0.38572463,0
100033,0.49967167,0
100034,0.093411304,0
100035,0.1704882,0
100036,0.21674614,0
100037,0.1533046,0
100038,0.22061713,0
100039,0.2478183,0
100040,0.37064552,0
100041,0.14620124,0
100042,0.85848296,1
100043,0.419229,0
100044,0.3061751,0
100045,0.36601624,0
100046,0.36776674,0
100047,0.61161166,1
100048,0.20046641,0
100049,0.12502056,0
100050,0.4711526,0
100051,0.18009764,0
100052,0.9211395,1
100053,0.4631357,0
100054,0.353203,0
100055,0.49953458,0
100056,0.14311601,0
100057,0.27135494,0
100058,0.10326331,0
100059,0.17228106,0
100060,0.72774243,1
100061,0.23927784,0
100062,0.06345337,0
100063,0.4607417,0
100064,0.2651674,0
100065,0.23354308,0
100066,0.06747873,0
100067,0.062866986,0
100068,0.28186738,0
100069,0.34192228,0
100070,0.07920326,0
100071,0.889517,1
100072,0.32643598,0
100073,0.18962441,0
100074,0.5629673,1
100075,0.28952226,0
100076,0.07324498,0
100077,0.5055247,0
100078,0.27286863,0
100079,0.059708536,0
100080,0.7295598,1
100081,0.9091462,1
100082,0.043016057,0
100083,0.5404523,0
100084,0.18606822,0
100085,0.21690053,0
100086,0.50955683,0
100087,0.5751768,1
100088,0.27843216,0
100089,0.21585587,0
100090,0.44465294,0
100091,0.077095404,0
100092,0.20587946,0
100093,0.1888808,0
100094,0.37847474,0
100095,0.23233841,0
100096,0.30898535,0
100097,0.08963739,0
100098,0.2684095,0
100099,0.26005247,0
100100,0.86161774,1
100101,0.20610361,0
100102,0.2562135,0
100103,0.38091058,0
100104,0.15481395,0
100105,0.1351966,0
100106,0.06655506,0
100107,0.267916,0
100108,0.17099993,0
100109,0.123394676,0
100110,0.35208535,0
100111,0.25115702,0
100112,0.39590794,0
100113,0.35434672,0
100114,0.7449259,1
100115,0.11626906,0
100116,0.16037211,0
100117,0.27105504,0
100118,0.3986671,0
100119,0.5033977,0
100120,0.075175606,0
100121,0.30515033,0
100122,0.06692566,0
100123,0.28337008,0
100124,0.113408364,0
100125,0.11905749,0
100126,0.85142314,1
100127,0.051167157,0
100128,0.1699097,0
100129,0.12138395,0
100130,0.059369277,0
100131,0.6344596,1
100132,0.30727217,0
100133,0.22722286,0
100134,0.51880324,0
100135,0.345462,0
100136,0.07614058,0
100137,0.24358521,0
100138,0.16972536,0
100139,0.3456064,0
100140,0.16805848,0
100141,0.65699667,1
100142,0.44325894,0
100143,0.31980926,0
100144,0.2977706,0
100145,0.7689557,1
100146,0.766891,1
100147,0.24692842,0
100148,0.13869919,0
100149,0.684717,1
100150,0.29644227,0
100151,0.117571,0
100152,0.44063994,0
100153,0.07748305,0
100154,0.5488727,0
100155,0.6509627,1
100156,0.09955847,0
100157,0.36271405,0
100158,0.09693125,0
100159,0.086025685,0
100160,0.3576895,0
100161,0.19359365,0
100162,0.17333242,0
100163,0.36789167,0
100164,0.21207102,0
100165,0.58849317,1
100166,0.8538211,1
100167,0.8349596,1
100168,0.14875366,0
100169,0.08222193,0
100170,0.10461671,0
100171,0.513145,0
100172,0.2667872,0
100173,0.36043227,0
100174,0.41301534,0
100175,0.2673554,0
100176,0.298408,0
100177,0.12804237,0
100178,0.07926345,0
100179,0.10311164,0
100180,0.32005966,0
100181,0.1497049,0
100182,0.31859604,0
100183,0.18781106,0
100184,0.64421576,1
100185,0.13518102,0
100186,0.076652646,0
100187,0.47861153,0
100188,0.35199875,0
100189,0.14382872,0
100190,0.06432611,0
100191,0.33482966,0
100192,0.48953128,0
100193,0.32591105,0
100194,0.15326287,0
100195,0.057446606,0
100196,0.7703067,1
100197,0.808642,1
100198,0.257606,0
100199,0.13304076,0
100200,0.6011004,1
100201,0.11178016,0
100202,0.059255622,0
100203,0.43913344,0
100204,0.096159995,0
100205,0.083616205,0
100206,0.7665264,1
100207,0.07917938,0
100208,0.523811,0
100209,0.2916416,0
100210,0.25534278,0
100211,0.08673505,0
100212,0.08380616,0
100213,0.11542283,0
100214,0.5644685,1
100215,0.13911979,0
100216,0.5329378,0
100217,0.7668897,1
100218,0.11184174,0
100219,0.100230195,0
100220,0.5988267,1
100221,0.12157708,0
100222,0.529782,0
100223,0.4161176,0
100224,0.22274928,0
100225,0.26015523,0
100226,0.55614257,1
100227,0.06538567,0
100228,0.19875531,0
100229,0.07493255,0
100230,0.49429598,0
100231,0.5064198,0
